Смартфон Apple iPhone 12 64 ГБ, фиолетовый;iOS 14
Смартфон Apple iPhone 12 64 ГБ, фиолетовый;iOS 14
Смартфон Apple iPhone 12 64 ГБ, белый;iOS 14
Смартфон Vivo Y22 4/64 ГБ, синий;Android 12.x
